index,cleaned_job_title,senior,min_salary_estimate,max_salary_estimate,average_salary,cleaned_company_name,rating,location_city,location_state,headquarters_city,headquarters_state,same_state,size,founded,type_of_ownership,industry,sector,revenue,python,r_skills,sql_skills,spark,hadoop,tableau,excel,aws,azure,tensorflow,keras,pytorch,sas
0,"Data Scientist",1,137,171,154.00,Healthfirst,3.1,"New York",NY,"New York",NY,1,"1001 to 5000 employees",1993,"Nonprofit Organization","Insurance Carriers",Insurance,"Unknown / Non-Applicable",0,0,0,0,0,0,0,1,1,0,0,0,0
1,"Data Scientist",0,137,171,154.00,ManTech,4.2,Chantilly,VA,Herndon,VA,1,"5001 to 10000 employees",1968,"Company - Public","Research & Development","Business Services","$1 to $2 billion (USD)",0,0,1,0,1,0,0,0,0,0,0,0,0
2,"Data Scientist",0,137,171,154.00,"Analysis Group",3.8,Boston,MA,Boston,MA,1,"1001 to 5000 employees",1981,"Private Practice / Firm",Consulting,"Business Services","$100 to $500 million (USD)",1,1,0,0,0,0,1,1,0,0,0,0,0
3,"Data Scientist",0,137,171,154.00,INFICON,3.5,Newton,MA,"Bad Ragaz",Switzerland,0,"501 to 1000 employees",2000,"Company - Public","Electrical & Electronic Manufacturing",Manufacturing,"$100 to $500 million (USD)",1,0,1,0,0,0,1,1,0,1,0,1,0
4,"Data Scientist",0,137,171,154.00,"Affinity Solutions",2.9,"New York",NY,"New York",NY,1,"51 to 200 employees",1998,"Company - Private","Advertising & Marketing","Business Services","Unknown / Non-Applicable",1,1,1,0,0,0,1,0,0,0,0,0,1
5,"Data Scientist",0,137,171,154.00,"HG Insights",4.2,"Santa Barbara",CA,"Santa Barbara",CA,1,"51 to 200 employees",2010,"Company - Private","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable",1,0,1,1,1,0,1,0,0,1,0,0,0
6,"Machine Learning Engineer",0,137,171,154.00,Novartis,3.9,Cambridge,MA,Basel,Switzerland,0,"10000+ employees",1996,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)",1,1,0,0,0,0,0,0,0,0,0,1,0
7,"Data Scientist",0,137,171,154.00,iRobot,3.5,Bedford,MA,Bedford,MA,1,"1001 to 5000 employees",1990,"Company - Public","Consumer Electronics & Appliances Stores",Retail,"$1 to $2 billion (USD)",1,0,1,0,0,0,0,0,0,0,0,0,0
8,"Data Analyst",0,137,171,154.00,"Intuit - Data",4.4,"San Diego",CA,"Mountain View",CA,1,"5001 to 10000 employees",1983,"Company - Public","Computer Hardware & Software","Information Technology","$2 to $5 billion (USD)",0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Data Scientist",0,137,171,154.00,"XSELL Technologies",3.6,Chicago,IL,Chicago,IL,1,"51 to 200 employees",2014,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable",1,0,1,0,0,0,0,0,0,1,0,1,0
10,"Data Scientist",0,137,171,154.00,Novetta,4.5,Herndon,VA,"Mc Lean",VA,1,"501 to 1000 employees",2012,"Company - Private","Enterprise Software & Network Solutions","Information Technology","$100 to $500 million (USD)",1,1,0,0,0,0,1,1,0,1,1,0,0
11,"Data Scientist",0,137,171,154.00,1904labs,4.7,"Saint Louis",MO,"Saint Louis",MO,1,"51 to 200 employees",2016,"Company - Private","IT Services","Information Technology","Unknown / Non-Applicable",1,1,1,1,0,0,0,0,0,1,1,0,0
12,"Data Scientist",0,137,171,154.00,PNNL,3.7,Richland,WA,Richland,WA,1,"1001 to 5000 employees",1965,Government,Energy,"Oil, Gas, Energy & Utilities","$500 million to $1 billion (USD)",0,0,0,0,0,0,1,0,0,0,0,0,0
13,"Data Modeler",0,137,171,154.00,"Old World Industries",3.1,Northbrook,IL,Northbrook,IL,1,"201 to 500 employees",1973,"Company - Private","Chemical Manufacturing",Manufacturing,"$1 to $2 billion (USD)",1,0,1,0,0,1,1,0,0,0,0,0,0
14,"Data Scientist",0,137,171,154.00,"Mathematica Policy Research",3.4,Washington,DC,Princeton,NJ,0,"1001 to 5000 employees",1986,"Company - Private",Consulting,"Business Services","$100 to $500 million (USD)",1,1,0,0,0,0,1,1,0,0,0,0,0
15,"Data Scientist",0,137,171,154.00,"Guzman & Griffin Technologies (GGTI)",4.4,Washington,DC,"Mays Landing",NJ,0,"1 to 50 employees",1997,"Company - Private","Federal Agencies",Government,"Unknown / Non-Applicable",1,1,1,1,1,1,1,0,0,1,0,0,0
16,"Data Scientist",0,137,171,154.00,"Upside Business Travel",4.1,Remote,Remote,Washington,DC,0,"51 to 200 employees",2015,"Company - Private",Internet,"Information Technology","Unknown / Non-Applicable",1,0,0,0,0,0,0,0,0,1,0,1,0
17,"Data Scientist",0,137,171,154.00,Buckman,3.5,Memphis,TN,Memphis,TN,1,"1001 to 5000 employees",1945,"Company - Private","Chemical Manufacturing",Manufacturing,"$500 million to $1 billion (USD)",1,1,1,0,1,0,0,0,1,0,0,0,0
18,"Data Analyst",0,137,171,154.00,"Insight Enterprises, Inc.",4.2,Plano,TX,Tempe,AZ,0,"5001 to 10000 employees",1988,"Company - Public","Enterprise Software & Network Solutions","Information Technology","$5 to $10 billion (USD)",0,0,0,0,0,0,1,0,0,0,0,0,0
19,"Data Scientist",0,137,171,154.00,"Tower Health",3.5,"West Grove",PA,Reading,PA,1,"5001 to 10000 employees",2017,"Nonprofit Organization","Health Care Services & Hospitals","Health Care","Unknown / Non-Applicable",0,0,0,0,0,0,0,0,0,0,0,0,0
20,"Data Scientist",0,137,171,154.00,Triplebyte,3.2,"New York",NY,"San Francisco",CA,0,"51 to 200 employees",2015,"Company - Private","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable",0,0,0,0,0,0,0,0,0,0,0,0,0
